"t","Jy_up","Jy_down"
0.,-0.00001308826638234926,0.00001284182972306755
0.0007734492139649188,-0.000013078760448218775,0.000012912766734160062
0.0015468984279298375,-0.000013258034239836685,0.000013654286320618646
0.002320347641894756,-0.000014486114919655474,0.000016403659445338473
0.003093796855859675,-0.000018339421699350917,0.000023205375616976537
0.0038672460698245936,-0.000027082335102605877,0.00003677817684860823
0.004640695283789512,-0.000043627317157352994,0.00006047076127108182
0.0054141444977544315,-0.00007148462466124051,0.0000982069452643251
0.00618759371171935,-0.00011470232655258509,0.00015442143310308323
0.006961042925684269,-0.00017779816881491816,0.0002339875264781024
0.007734492139649187,-0.0002656843950173557,0.0003421379083783759
0.008507941353614107,-0.0003835867361265666,0.0004843802426379562
0.009281390567579024,-0.0005369596934529488,0.0006664087236329517
0.010054839781543944,-0.0007313981279227034,0.0008940133174322086
0.010828288995508863,-0.0009725478203978414,0.0011729875518617415
0.01160173820947378,-0.0012660149766607286,0.001509036042735298
0.0123751874234387,-0.0016172765239002278,0.0019076863733436852
0.01314863663740362,-0.0020315919902010237,0.002374192135509641
0.013922085851368537,-0.0025139159117006787,0.0029134566816010547
0.014695535065333457,-0.0030688126142514646,0.0035299388039244824
0.015468984279298374,-0.0037003754802578913,0.004227581499581785
0.016242433493263292,-0.004412151756025382,0.0050097249052949155
0.017015882707228213,-0.005207060763262337,0.005879046934786448
0.01778933192119313,-0.006087334536460682,0.00683748017111233
0.01856278113515805,-0.0070544413110752045,0.007886165695735635
0.019336230349122966,-0.008109039352597318,0.009025384491721826
0.020109679563087887,-0.009250913636427622,0.01025451391115118
0.020883128777052805,-0.010478942868642871,0.011571986780869792
0.021656577991017726,-0.011791055953408368,0.012975259742425872
0.02243002720498264,-0.013184212205438124,0.014460786868683326
0.02320347641894756,-0.014654388158301676,0.016024015706313767
0.02397692563291248,-0.016196576245254737,0.017659389914135185
0.0247503748468774,-0.017804801948440387,0.01936036641231311
0.025523824060842318,-0.01947213962892093,0.02111941274402197
0.02629727327480724,-0.02119076661262007,0.022928125800684027
0.027070722488772157,-0.02295202914878899,0.024777231821969364
0.027844171702737074,-0.024746508368472427,0.02665667873764843
0.028617620916701992,-0.026564099434667948,0.028555768084524123
0.029391070130666913,-0.028394156650951324,0.03046322096489791
0.03016451934463183,-0.03022555941994259,0.03236732315519517
0.03093796855859675,-0.03204689692701107,0.03425608340628379
0.03171141777256167,-0.03384660005720752,0.036117325785326615
0.032484866986526584,-0.03561306012050302,0.03793892712625939
0.0332583162004915,-0.037334853110573676,0.0397089093716432
0.034031765414456426,-0.039000818854959894,0.04141566383144915
0.034805214628421344,-0.04060029846554422,0.043048056716604055
0.03557866384238626,-0.04212323987209709,0.04459564020608191
0.03635211305635118,-0.04356034293090217,0.046048744788756375
0.0371255622703161,-0.044903230916768136,0.0473987035221854
0.03789901148428102,-0.046144582439960884,0.048637878415997725
0.03867246069824593,-0.04727817102128306,0.049759845115597785
0.03944590991221086,-0.0482990629674724,0.05075947205232508
0.040219359126175774,-0.04920361737120164,0.05163299959361345
0.0409928083401407,-0.04998956526123787,0.05237805323468425
0.04176625755410561,-0.05065610194429501,0.0529937623237853
0.04253970676807053,-0.05120384742995414,0.053480746870497683
0.04331315598203545,-0.0516349255808228,0.05384110435404255
0.04408660519600038,-0.051952884962375746,0.054078436106667516
0.04486005440996528,-0.05216272522634135,0.05419782093026018
0.0456335036239302,-0.052270897110701556,0.05420577552126863
0.04640695283789512,-0.05228514413937339,0.05411017532054198
0.04718040205186004,-0.052214594964061396,0.05392025451333052
0.04795385126582496,-0.052069552297166206,0.05364650049573989
0.048727300479789876,-0.051861532486864224,0.053300587916265074
0.0495007496937548,-0.051603094025095816,0.05289529952563107
0.05027419890771972,-0.05130779797248566,0.05244439425986076
0.051047648121684636,-0.050990076041410565,0.05196256766519531
0.05182109733564955,-0.050665138254147056,0.05146528040608227
0.05259454654961448,-0.050348841025939145,0.050968692306709605
0.053367995763579396,-0.05005756843975945,0.05048946447560742
0.05414144497754431,-0.04980810032937701,0.0500447461139548
0.054914894191509224,-0.04961749355411839,0.049651897490022225
0.05568834340547415,-0.04950289731516263,0.04932843717239875
0.056461792619439066,-0.04948143443030238,0.04909184415459383
0.057235241833403984,-0.04957004303362525,0.048959386363025416
0.0580086910473689,-0.04978529189180886,0.0489480283151676
0.058782140261333826,-0.050143235295495456,0.04907415409399296
0.059555589475298744,-0.050659267950666526,0.049353475006120175
0.06032903868926366,-0.05134791391155143,0.049800844898108945
0.061102487903228586,-0.05222266828030876,0.0504300490893686
0.0618759371171935,-0.05329589167348066,0.05125371203030554
0.06264938633115842,-0.05457857277151492,0.052283059851845476
0.06342283554512335,-0.05608026236029898,0.05352782802358082
0.06419628475908827,-0.05780887545576161,0.054996116245145346
0.06496973397305317,-0.0597705857703273,0.056694216954202466
0.06574318318701808,-0.061969746562756854,0.05862660213475196
0.066516632400983,-0.06440874552952215,0.06079573863342497
0.06729008161494793,-0.06708796522972642,0.06320204858440434
0.06806353082891285,-0.07000575670171783,0.06584388302603825
0.06883698004287776,-0.0731583075461573,0.06871749551745375
0.06961042925684269,-0.07653974745956435,0.07181696298839743
0.07038387847080761,-0.08014210865923733,0.07513429127278125
0.07115732768477252,-0.08395529949986699,0.07865938872529595
0.07193077689873743,-0.08796724958216193,0.08238014537157051
0.07270422611270236,-0.09216394932792821,0.08628251205833126
0.07347767532666728,-0.09652952913022854,0.09035057960356137
0.0742511245406322,-0.10104635169523499,0.09456671071343285
0.07502457375459712,-0.10569520991762693,0.09891167189923865
0.07579802296856204,-0.11045543241413705,0.10336476539432506
0.07657147218252695,-0.11530502863217648,0.10790402702948963
0.07734492139649186,-0.1202209131086196,0.1125063581499135
0.07811837061045679,-0.1251790769618157,0.11714776306563915
0.07889181982442171,-0.1301547989586805,0.12180350735188918
0.07966526903838662,-0.1351227774316283,0.1264483816829303
0.08043871825235155,-0.1400576579463005,0.1310568601323922
0.08121216746631647,-0.14493370350923535,0.13560335081543837
0.0819856166802814,-0.1497257179863928,0.14006253887278997
0.08275906589424631,-0.15440850524373287,0.14440946562088477
0.08353251510821122,-0.15895805639960486,0.14861959451034357
0.08430596432217613,-0.16335075832315452,0.1526697081611085
0.08507941353614105,-0.16756458088671342,0.15653724877778258
