"kx","ky","distance","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12"
0.,0.,0.,8.638384462814014e-9,0.0032675040616205347,0.40440848163303467,0.8235798714280494,3.532262239169377,3.6020297406164437,3.9893296826752715,4.0079955960577305,4.985583747733129,4.997052747994717,5.420981257873875,5.429984984917542
0.013513513513513514,0.013513513513513514,0.019110994086122907,0.0039037063932032302,0.012280102482779979,0.4042620687564151,0.8233351321927127,3.532473044494751,3.6022943910570655,3.9895019427961045,4.008297783552754,4.984708242610898,4.996262099497064,5.419592674404539,5.4285826777398345
0.02702702702702703,0.02702702702702703,0.03822198817224581,0.005390549477014015,0.024558833043558364,0.4038234109185071,0.8226017206737773,3.5331045153961704,3.6030877819898945,3.9900176190044996,4.009203876443972,4.982094360646254,4.993900152129369,5.415452446591266,5.424405922409491
0.04054054054054054,0.04054054054054054,0.05733298225836872,0.007247618925523014,0.036834753157619554,0.4030942503704407,0.8213820538949803,3.534153815574932,3.60440822786553,3.990873385747727,4.010712459863545,4.977779521748215,4.989996533315395,5.408635353427427,5.417542697017261
0.05405405405405406,0.05405405405405406,0.07644397634449163,0.009289698136252333,0.049106290103474094,0.4020774905169741,0.8196801552676045,3.5356162142250067,3.6062529046958822,3.9920636568030297,4.012821155246907,4.971824540443932,4.9845994327921375,5.399260355817756,5.408131714128425
0.06756756756756757,0.06756756756756757,0.09555497043061453,0.011457055135252303,0.061371667472881156,0.40077719562956055,0.8175016477104273,3.5374850803729636,3.6086178274908183,3.9935805198721614,4.015526589085545,4.964311460828246,4.9777739317380565,5.387483029596281,5.396352078615064
0.08108108108108109,0.08108108108108109,0.11466596451673744,0.013731318533197458,0.0736288326840346,0.39919859091104176,0.814853745151559,3.539751874574559,3.611497817744932,3.9954136452007614,4.018824348013371,4.955340822723873,4.969599871347351,5.373486588317936,5.382411379370695
0.0945945945945946,0.0945945945945946,0.13377695860286035,0.016108625316026744,0.08587538033429692,0.39734806338392614,0.8117452435587116,3.542406137638862,3.6148864600227015,3.99755016865651,4.022708919005741,4.945028596998216,4.960169430301286,5.357472609855058,5.366533861607307
0.10810810810810811,0.10810810810810811,0.15288795268898325,0.018590328679609833,0.09810847007501099,0.39523316420746013,0.8081865130000477,3.545435476018105,3.618776046371395,3.999974550192071,4.027173613032133,4.933503027884532,4.9495845842668755,5.339652398532714,5.348949934389739
0.12162162162162163,0.12162162162162163,0.17199894677510616,0.021179315957033602,0.11032473746402083,0.39286261316872867,0.8041894926056631,3.5488255435303575,3.6231575069422908,4.002668409449739,4.0322104700066355,4.920901591753918,4.937954604706623,5.320239613737459,5.329887735016324
