"kx","ky","distance","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12"
0.,0.,0.,2.7758280180820987,2.775828018082213,3.605078552888653,3.6050785528889895,5.288686155481963,5.288686155482,5.895684496407612,5.895684496407622,6.837283004972701,6.837283004972774,7.546110241619577,7.546110241619681
0.006666666666666667,0.006666666666666667,0.009428090415820635,2.7758762466154305,2.7758762466157636,3.6049780907151043,3.60497809071532,5.288752263706228,5.2887522637063835,5.895741990140369,5.895741990140461,6.837202792394852,6.837202792395021,7.544998492395684,7.544998492395915
0.013333333333333334,0.013333333333333334,0.01885618083164127,2.776020904594836,2.776020904595038,3.6046768487908216,3.6046768487911356,5.288950507522252,5.288950507522394,5.895914477158319,5.8959144771584295,6.8369614343236,6.836961434323613,7.541702469295409,7.541702469295438
0.02,0.02,0.028284271247461905,2.7762619090893645,2.7762619090895053,3.604175260539154,3.604175260539211,5.289280644479221,5.289280644479263,5.896201974667401,5.8962019746675045,6.836556782081022,6.836556782081267,7.536333739004418,7.536333739004578
0.02666666666666667,0.02666666666666667,0.03771236166328254,2.776599121654841,2.7765991216548533,3.6034740471115456,3.6034740471116553,5.289742270893528,5.289742270893691,5.896604510502384,5.896604510502525,6.835985295638027,6.835985295638063,7.5290599805079115,7.529059980507938
0.03333333333333333,0.03333333333333333,0.047140452079103175,2.777032347993431,2.777032347993618,3.6025742155702223,3.6025742155703298,5.290334822441264,5.2903348224412925,5.89712212186907,5.897122121869192,6.835242105180415,6.835242105180464,7.520083709161518,7.520083709161552
0.04,0.04,0.05656854249492381,2.777561337476434,2.777561337476518,3.601477056370757,3.6014770563710066,5.291057574973113,5.291057574973127,5.897754853592416,5.897754853592542,6.834321097092162,6.8343210970922375,7.509621413770411,7.509621413770423
0.04666666666666667,0.04666666666666667,0.06599663291074445,2.7781857825233156,2.778185782523546,3.600184140167344,3.600184140167499,5.291909645534742,5.291909645534901,5.898502755879787,5.89850275587985,6.833215024026123,6.83321502402616,7.497886831741603,7.4978868317417104
0.05333333333333334,0.05333333333333334,0.07542472332656508,2.7789053178408216,2.7789053178409215,3.598697313977268,3.598697313977497,5.292889993575142,5.292889993575226,5.8993658816106676,5.899365881610766,6.831915638496996,6.831915638497051,7.48507973844044,7.485079738440484
0.06,0.06,0.08485281374238571,2.779719519513475,2.7797195195136073,3.5970186967400624,3.5970186967401796,5.293997422316827,5.293997422316949,5.90034428316605,5.900344283166159,6.830413849084701,6.8304138490847865,7.471379852742956,7.471379852743078
0.06666666666666667,0.06666666666666667,0.09428090415820634,2.7806279039418627,2.7806279039419155,3.5951506743168125,3.595150674316975,5.295230580267031,5.29523058026714,5.901438008808307,5.901438008808314,6.828699897884469,6.828699897884488,7.456944620161819,7.456944620161873
0.07333333333333333,0.07333333333333333,0.10370899457402696,2.7816299266263216,2.781629926626397,3.5930958939815523,3.593095893981732,5.29658796283527,5.296587962835374,5.902647098634035,5.902647098634159,6.826763557281569,6.826763557281583,7.441909515177032,7.4419095151770565
0.08,0.08,0.11313708498984759,2.7827249807884944,2.782724980788506,3.590857258456289,3.5908572584564546,5.298067914031205,5.298067914031423,5.903971580106938,5.903971580106994,6.824594343492091,6.824594343492176,7.426389747273579,7.426389747273686
0.08666666666666667,0.08666666666666667,0.12256517540566822,2.783912395822261,2.7839123958225227,3.588437919549627,3.5884379195497975,5.299668628208109,5.299668628208151,5.905411463191786,5.905411463191965,6.822181743590101,6.822181743590125,7.410482592662752,7.4104825926629125
0.09333333333333334,0.09333333333333334,0.13199326582148885,2.7851914355714382,2.785191435571528,3.5858412714632677,3.585841271463299,5.301388151815995,5.301388151816063,5.906966735103484,5.906966735103592,6.819515452022753,6.819515452022828,7.394269871349382,7.394269871349505
0.1,0.1,0.14142135623730948,2.7865612964232547,2.786561296423263,3.583070943827497,3.5830709438275563,5.303224385136328,5.303224385136381,5.908637354683488,5.908637354683545,6.816585611903712,6.816585611903741,7.377820306010689,7.377820306010816
