"M0","Mz","M_parallel"
0.03,1.209894978462511e-8,0.49998880702271453
0.13,4.565600697069985e-6,0.499790002437868
0.23,1.6985896797978997e-8,0.49934394773542845
0.33,2.063177088995555e-8,0.49865351728697305
0.43,7.567670724516786e-9,0.4977231197105006
0.53,2.5175367948055324e-8,0.49655861838640747
0.63,9.798865214581342e-9,0.49516722807235697
0.73,2.0680740290743095e-9,0.49355739104594143
0.83,9.413807943656665e-9,0.4917386369329157
0.93,1.057533627238199e-9,0.489721430682907
1.03,1.0928880386943564e-8,0.48751701325189284
1.13,5.272651259377273e-7,0.48513723943627757
1.23,2.406766379333695e-8,0.48259441700710176
1.33,3.8064164220202105e-8,0.47990115083817375
1.43,1.961959381891489e-6,0.477070195183458
1.53,1.9770305869397166e-7,0.4741143166602505
1.63,1.3744160016676451e-8,0.4710461697529396
1.73,5.254828001951668e-7,0.4678781862749746
1.76,2.734227224865968e-8,0.4669101438169188
1.7855555555555556,1.2982658788120767e-8,0.4660795303287654
1.8111111111111111,8.892656115149861e-8,0.46524361848926044
1.8366666666666667,0.00001569474665069846,0.4644026085341456
1.8622222222222222,9.25049044823067e-8,0.4635566748674135
1.8877777777777778,6.0289068114026695e-6,0.4627060259245222
1.9133333333333333,1.0581484810991265e-7,0.46185084331887993
1.9388888888888889,0.42253895895793253,1.19457019643052e-7
1.9644444444444444,0.4209109245136358,2.4347065465919226e-7
1.99,0.41927843476633947,1.6527831207418767e-7
2.02,0.4173568051824762,5.450628150052039e-8
2.118333333333333,0.4110248525349398,7.576813050472105e-8
2.216666666666667,0.40465537978855676,5.827377086555591e-8
2.315,0.3982646624120587,5.2374040274636764e-8
2.4133333333333336,0.39186749071283505,2.2213885591587923e-8
2.5116666666666667,0.3854772339795741,3.694777691005572e-8
2.61,0.3791059139694659,6.198727456791828e-8
2.7083333333333335,0.3727642844399214,4.51029863217174e-9
2.8066666666666666,0.366461914002874,1.9890980393425623e-9
2.905,0.36020727010642245,3.3245728642077726e-8
3.0033333333333334,0.3540078024148874,7.337124555124077e-9
3.1016666666666666,0.3478700242626654,2.1297414731918313e-8
3.2,0.3417995912000225,1.6762971066170187e-8
