"theta","sigma_yx","sigma_xx"
0.,-0.014431179924662448,-0.008962614943764526
0.04908738521234052,-0.01355180530835971,-0.008917539890637908
0.09817477042468103,-0.01268300438917364,-0.00878934030287233
0.14726215563702155,-0.011829715524860345,-0.008575549007292663
0.19634954084936207,-0.011001511877193195,-0.008279230973476695
0.2454369260617026,-0.010207040849948038,-0.007902725983481917
0.2945243112740431,-0.009452318757083494,-0.007451394225566727
0.3436116964863836,-0.008745571834049866,-0.0069271138535315115
0.39269908169872414,-0.008094631520370484,-0.006336057384015107
0.44178646691106466,-0.007503479149795144,-0.00568456636280696
0.4908738521234052,-0.006979516638536273,-0.0049782355700166364
0.5399612373357456,-0.006527646365240743,-0.004225002168153583
0.5890486225480862,-0.006151467183291877,-0.0034292516040522326
0.6381360077604268,-0.005855628267353486,-0.0026012140033183696
0.6872233929727672,-0.005642978058067268,-0.0017483349739024644
0.7363107781851077,-0.00551255077688315,-0.0008778538984412581
0.7853981633974483,-0.005469493773284311,4.387970926727842e-7
0.8344855486097889,-0.005512487225826313,0.0008785930948263395
0.8835729338221293,-0.005641337380912226,0.0017488465976680794
0.9326603190344698,-0.005855912064081219,0.002601116657534188
0.9817477042468103,-0.0061518088368750215,0.003429921178807519
1.030835089459151,-0.0065280859021987925,0.004224889623450153
1.0799224746714913,-0.006979981029508593,0.004979642764647423
1.1290098598838318,-0.0075044772711760546,0.005686024458812169
1.1780972450961724,-0.00809407289646279,0.006337782119538316
1.227184630308513,-0.008745916616647923,0.006927315949072995
1.2762720155208536,-0.009452964157059577,0.0074511795714902376
1.325359400733194,-0.010207128268457303,0.007903678318313895
1.3744467859455345,-0.011001833704280933,0.008279337771263173
1.423534171157875,-0.011830496015554004,0.008576263672444503
1.4726215563702154,-0.012682230132060157,0.008789896578043981
1.521708941582556,-0.0135529804561645,0.008918098974857801
1.5707963267948966,-0.014431490225238939,0.008962399724827123
1.6198837120072371,-0.015310359659315717,0.008919517312959022
1.6689710972195777,-0.016180069133319576,0.008790208643352658
1.718058482431918,-0.017032469057015817,0.00857562413012202
1.7671458676442586,-0.01786091197373437,0.008279032686496716
1.8162332528565992,-0.01865590847909299,0.00790339318326339
1.8653206380689396,-0.019410569921997172,0.007451514621274109
1.9144080232812801,-0.0201159147533906,0.006927620619652822
1.9634954084936207,-0.020767613086625072,0.0063371299372673474
2.012582793705961,-0.0213589222029419,0.005685205406468944
2.061670178918302,-0.021882528251060684,0.00497831214488541
2.110757564130642,-0.0223342731930383,0.004224760407004455
2.1598449493429825,-0.022710916527567886,0.0034292094557501684
2.2089323345553233,-0.023006302161409902,0.0026019285323562345
2.2580197197676637,-0.02322087753420472,0.0017489741128975964
2.3071071049800045,-0.023349426154879362,0.0008781285958028061
2.356194490192345,-0.023392556048908723,-1.6941851067752309e-7
2.405281875404685,-0.023349691875569793,-0.0008782188224834026
2.454369260617026,-0.023220990710928424,-0.0017480984108962866
2.5034566458293663,-0.02300721035302706,-0.0026010662209456667
2.552544031041707,-0.022710938236064133,-0.003429958402217397
2.6016314162540475,-0.02233471637467355,-0.004224202600017795
2.650718801466388,-0.021882950289890745,-0.00497799051832057
2.6998061866787286,-0.021358295135467144,-0.005684386881555546
2.748893571891069,-0.020767574257734196,-0.00633690946365729
2.7979809571034093,-0.020116005158580207,-0.006926689108097894
2.84706834231575,-0.01940941375794913,-0.007450571253987591
2.8961557275280905,-0.01865526634076869,-0.007903144128985688
2.945243112740431,-0.01786087708094978,-0.008279389226677338
2.9943304979527716,-0.017032482471338182,-0.008575235236475536
3.043417883165112,-0.016179039222995045,-0.008788040705132468
3.0925052683774528,-0.015309142831648618,-0.008918562608819604
3.141592653589793,-0.014431179924662448,-0.008962614943764526
