"t","xc","xc_up","xc_down","yc","yc_up","yc_down"
0.,-4.440538210123953,-4.440538210123953,-4.440538210123953,1.6562896559345945e-6,1.655540188292447e-6,1.6570389464395072e-6
0.000015468984279298374,-4.440522267772785,-4.440520496400433,-4.440522267772785,1.6631066052941819e-6,1.7396578785854336e-8,3.3088172712679284e-6
0.00003093796855859675,-4.440499239932208,-4.4404956971875045,-4.440502782676912,1.7293435316539803e-6,-7.938431766248537e-6,0.000011397119538105437
0.00004640695283789512,-4.440476212091633,-4.440469126602224,-4.44048329758104,1.8417135481385796e-6,-0.00001716801861127073,0.000020851443936175534
0.0000618759371171935,-4.4404266136657755,-4.440417756804015,-4.440433699155183,1.8475679337620687e-6,-0.000019093303735606163,0.0000227884396031303
0.00007734492139649187,-4.440359301516398,-4.440350444654637,-4.440368158378157,1.61678149840642e-6,-0.000019503907846808826,0.000022737477220562132
0.00009281390567579024,-4.440297303484076,-4.440286675249964,-4.440307931718188,1.0807233059780542e-6,-0.000029053376196651648,0.000031214822454333285
0.00010828288995508863,-4.44021404898353,-4.440199878004714,-4.440228219962346,1.5424956332161912e-7,-0.00003834774921407732,0.00003865628685035549
0.000123751874234387,-4.440107766642408,-4.440093595663591,-4.440123708993576,-1.3315710646322514e-6,-0.00003960336879209672,0.00003694028759804113
0.00013922085851368537,-4.440006798418342,-4.439990856067173,-4.440020969397158,-3.533799273700415e-6,-0.00004694937393206754,0.00003988186395328431
0.00015468984279298374,-4.4398916592154585,-4.43987571686429,-4.439909372938979,-6.379443416474214e-6,-0.00005938203420443033,0.000046623299709504174
0.00017015882707228211,-4.439753492172,-4.439732235703776,-4.4397729772678725,-9.820771739281132e-6,-0.00006489551921876964,0.000045254188304889636
0.0001856278113515805,-4.439611782383837,-4.43958875454326,-4.4396365815967656,-0.000014059745489466555,-0.00007507343505166892,0.00004695428063348269
0.00020109679563087886,-4.43946652985097,-4.439443502010393,-4.439491329063898,-0.000018959795401432973,-0.0000929169647380174,0.00005499790534685707
0.00021656577991017726,-4.439298249477526,-4.439271678892245,-4.439323048690454,-0.00002407684728338594,-0.00010164008788563399,0.00005348711958152643
0.0002320347641894756,-4.439121112242322,-4.439089227539985,-4.439152996944658,-0.00002951085082028927,-0.00011014855613163047,0.00005112777560467499
0.000247503748468774,-4.438943975007118,-4.438906776187725,-4.4389811738265115,-0.0000352975523062071,-0.00013417653125182363,0.00006358280830984403
0.00026297273274807233,-4.43874558130369,-4.438706611111945,-4.438784551495435,-0.00004068838749889124,-0.0001524620183400059,0.00007108712099691658
0.00027844171702737073,-4.438533016621445,-4.438490503684996,-4.438575529557894,-0.00004546631014404632,-0.00015671704958056254,0.00006578664350790996
0.00029391070130666913,-4.438322223311553,-4.4382743962580475,-4.43837182173741,-0.00005000173191420724,-0.00017583857127773667,0.00007583795935880899
0.0003093796855859675,-4.438093716278139,-4.4380388037352265,-4.438148628821053,-0.000053633222373122615,-0.0002030906743570468,0.00009582812662997607
0.0003248486698652659,-4.437849266893558,-4.4377890402335884,-4.437907722181175,-0.000055725726818862886,-0.00021058145375934978,0.00009913444626622763
0.00034031765414456423,-4.4376030461366245,-4.437539276731951,-4.437665044168946,-0.00005690818871874308,-0.0002186172844343752,0.00010480591998064532
0.00035578663842386263,-4.437342654400875,-4.437277113623849,-4.4374081951779,-0.00005703627665351903,-0.00024265551580048667,0.00012858912686923373
0.000371255622703161,-4.437062777569253,-4.436991922675171,-4.437133632463334,-0.00005516335152453751,-0.0002556751025879741,0.0001453554496008602
0.0003867246069824594,-4.436781129365278,-4.436706731726493,-4.436857298376416,-0.00005189545295460169,-0.00025771554640028797,0.00015393206254123962
0.0004021935912617577,-4.436488852927192,-4.436414455288406,-4.436563250565977,-0.000047849142518285803,-0.0002716218821872062,0.00017593199345558323
0.00041766257554105607,-4.436175320020881,-4.436100922382095,-4.436249717659666,-0.00004205765832701746,-0.0002841178513074308,0.00020001167493473242
0.0004331315598203545,-4.435858244369866,-4.435782075358728,-4.435934413381004,-0.00003471076750087063,-0.0002835040707874493,0.00021409195948662087
0.0004486005440996529,-4.4355340832294425,-4.435457914218305,-4.435610252240581,-0.00002705657899909205,-0.0002898363726715187,0.00023573281551148264
0.0004640695283789512,-4.435186894248443,-4.4351142679820095,-4.435261291887229,-0.00001850852058102749,-0.00030045592705922836,0.000263448947292133
0.00047953851265824957,-4.434834391150387,-4.43476707900101,-4.434903474672117,-8.633148060367105e-6,-0.0002972316751040468,0.0002799754970621874
0.000495007496937548,-4.434478345307627,-4.434412804530602,-4.434545657457005,1.1716079929303006e-6,-0.0002964288891541026,0.0002987821573237866
0.0005104764812168464,-4.434101042996643,-4.4340372735919695,-4.434163041028965,0.000010881765322864938,-0.0003071701368223974,0.00032894384577366204
0.0005259454654961447,-4.433711341079195,-4.433652885791577,-4.4337697963668115,0.000021445331944643687,-0.0003078646919216319,0.00035076538177843185
0.0005414144497754432,-4.433323410534098,-4.433270269363537,-4.433374780332307,0.00003180933044312465,-0.0003013685380949989,0.0003649969415291844
0.0005568834340547415,-4.432914223520777,-4.432866396467272,-4.43296027920193,0.000041345548927774225,-0.0003069129335568813,0.0003896137031054718
0.0005723524183340399,-4.432487322783936,-4.432443038475134,-4.432531607092737,0.0000512071862272169,-0.0003148963316102863,0.00041732044661265636
0.0005878214026133383,-4.432063964791799,-4.432023223227701,-4.432104706355895,0.00006100023598918862,-0.0003130457789141111,0.0004350561351502127
0.0006032903868926366,-4.431624664448493,-4.431589237001452,-4.431658320523181,0.00006969941018260563,-0.00031240046796626324,0.00045180906630685775
0.000618759371171935,-4.4311605648922585,-4.431130451562273,-4.431190678222243,0.00007826893763357689,-0.00031873400981097906,0.00047528205275543353
0.0006342283554512334,-4.430698236708376,-4.430669894750744,-4.430726578666008,0.00008695450768733025,-0.000324156357717806,0.0004980758950442376
0.0006496973397305318,-4.430227051662734,-4.430200481077453,-4.4302536222480144,0.0000946428128206091,-0.0003267190020995009,0.000516015822813984
0.0006651663240098301,-4.429725753287107,-4.42970272544653,-4.429750552500035,0.00010189840711573184,-0.0003288563399794713,0.0005326651286880348
0.0006806353082891285,-4.429222683539128,-4.429199655698551,-4.429245711379704,0.00010936034857614363,-0.00033262121477649527,0.0005513548783743995
0.0006961042925684269,-4.428716071046444,-4.428693043205868,-4.428737327514669,0.00011600292404139618,-0.0003387161527653914,0.0005707361718270001
0.0007115732768477253,-4.428181116596129,-4.428158088755552,-4.428205915809057,0.00012197735556918312,-0.0003421930024179738,0.0005861635850526142
0.0007270422611270236,-4.4276355339117,-4.427608963326421,-4.42766033312463,0.00012811232657323536,-0.00034348805274454953,0.0005997301716224114
0.000742511245406322,-4.427089951227273,-4.427065152014344,-4.427114750440201,0.0001335401657343536,-0.0003478412002996857,0.0006149413002838417
0.0007579802296856202,-4.42652311207462,-4.42649654148934,-4.426549682659901,0.00013807888225708933,-0.00035061233520721565,0.000626792489867924
0.0007734492139649188,-4.425935016453743,-4.425904903123758,-4.425966901156079,0.0001426610151161735,-0.0003509965458703729,0.0006363437295901188
0.0007889181982442172,-4.425352234949922,-4.425316807502882,-4.425385891024611,0.0001465851717150928,-0.00035604832268115326,0.0006492471143513126
0.0008043871825235154,-4.424751739722581,-4.424716312275541,-4.424788938541973,0.00014940372626048685,-0.0003586922730538068,0.0006575318228417995
