"theta","Jy","Jx"
0.,-0.3582061435503883,-0.1827283813565931
0.15707963267948966,-0.29876778512067503,-0.17315649784116569
0.3141592653589793,-0.2455024362828203,-0.14680989129394245
0.47123889803846897,-0.20347199571990587,-0.10638227231988104
0.6283185307179586,-0.17659980656970686,-0.05583362464284948
0.7853981633974483,-0.16736056771080807,-1.3254402548765723e-6
0.9424777960769379,-0.1765989510523719,0.05583110928660706
1.0995574287564276,-0.20347036521798403,0.10638016465838628
1.2566370614359172,-0.24550018693844253,0.14680842371851657
1.413716694115407,-0.29876512791988064,0.17315577020047584
1.5707963267948966,-0.35820332809832467,0.18272855472715874
1.727875959474386,-0.4180518465740079,0.17440798146391923
1.8849555921538759,-0.4723906705504707,0.14882972545022735
2.0420352248333655,-0.5157467059565782,0.10838896154373649
2.199114857512855,-0.5436883191116005,0.05704619042876714
2.356194490192345,-0.5533296284903242,-0.00006226002326902755
2.5132741228718345,-0.5436690532033086,-0.05716942151844953
2.670353755551324,-0.5157085863290365,-0.10850788872092239
2.827433388230814,-0.47233450869552135,-0.14894153259698525
2.9845130209103035,-0.41797885500184073,-0.17451015706980655
3.141592653589793,-0.35811510868878926,-0.1828186019814044
