"x","y","Mx","My","Mz"
-3.455751918948773,-3.455751918948773,0.0015169002481013663,0.0015169065147968357,-5.656366564368853e-11
-3.346045508823415,-3.455751918948773,0.0012239839785251247,0.0010256829818257142,-4.510039184561082e-11
-3.236339098698057,-3.455751918948773,0.0010642767483812579,0.0007226179545538625,-3.9341869931090734e-11
-3.126632688572699,-3.455751918948773,0.00101427840790964,0.000538178017789024,-3.8193999720749494e-11
-3.0169262784473414,-3.455751918948773,0.0010667449472071201,0.00042682994231468385,-4.145220505822472e-11
-2.9072198683219836,-3.455751918948773,0.001231161502002003,0.0003595580705569796,-4.9810984763948296e-11
-2.7975134581966254,-3.455751918948773,0.0015337967933102632,0.0003176924676947828,-6.491683286844602e-11
-2.6878070480712677,-3.455751918948773,0.0020166746049553397,0.0002885065280939608,-8.941982874641208e-11
-2.57810063794591,-3.455751918948773,0.0027335709108595534,0.0002625883179030558,-1.2690802965800718e-10
-2.468394227820552,-3.455751918948773,0.003740414503276857,0.00023294171284501215,-1.8154610692371065e-10
-2.358687817695194,-3.455751918948773,0.005077954283276491,0.00019575413714475933,-2.572255993274486e-10
-2.248981407569836,-3.455751918948773,0.006747095417580989,0.0001524619722452331,-3.561328744926262e-10
-2.1392749974444785,-3.455751918948773,0.00868209737236656,0.00011204009755285413,-4.76902076856911e-10
-2.0295685873191207,-3.455751918948773,0.010732372399137963,0.000091640187843156,-6.129069612947902e-10
-1.9198621771937627,-3.455751918948773,0.012666349941136322,0.00011356516394518939,-7.51572606233486e-10
-1.8101557670684048,-3.455751918948773,0.014206659868572277,0.00019787538774331155,-8.755656633746556e-10
-1.700449356943047,-3.455751918948773,0.015093537556135222,0.00035260292985965155,-9.661413205921954e-10
-1.590742946817689,-3.455751918948773,0.015157588969736265,0.0005661273614457098,-1.0079047171526745e-9
-1.4810365366923313,-3.455751918948773,0.014373400801605977,0.0008065625104576165,-9.933108302898064e-10
-1.3713301265669733,-3.455751918948773,0.012870036333613532,0.0010299822174375996,-9.250269239827191e-10
-1.2616237164416155,-3.455751918948773,0.010892821689142303,0.0011944603395455042,-8.150962613195922e-10
-1.1519173063162575,-3.455751918948773,0.008732872937403704,0.0012734717254369028,-6.812780339870983e-10
-1.0422108961908998,-3.455751918948773,0.00665352564906684,0.0012626448641518324,-5.421557833749924e-10
-0.9325044860655419,-3.455751918948773,0.00483976114336789,0.001177761868584919,-4.1292216044000463e-10
-0.8227980759401841,-3.455751918948773,0.0033819547690306134,0.0010464417846777685,-3.031055426181567e-10
-0.7130916658148262,-3.455751918948773,0.00228904297039261,0.000898289013259077,-2.164340351905325e-10
-0.6033852556894683,-3.455751918948773,0.0015170092299584144,0.0007576356544254753,-1.5218277853168427e-10
-0.4936788455641104,-3.455751918948773,0.000998469653255351,0.0006406175499410213,-1.0706221206888827e-10
-0.38397243543875254,-3.455751918948773,0.0006646875493910659,0.0005560665948897423,-7.690264581822898e-11
-0.27426602531339467,-3.455751918948773,0.00045773492907087173,0.0005086696437225532,-5.778787165585872e-11
-0.1645596151880368,-3.455751918948773,0.00033470574336444907,0.0005030235215090603,-4.663012467473471e-11
-0.054853205062678934,-3.455751918948773,0.00026732476791620045,0.0005479873943005633,-4.13540439956131e-11
0.054853205062678934,-3.455751918948773,0.00023992405500965016,0.0006614798217398856,-4.088688480667624e-11
0.1645596151880368,-3.455751918948773,0.00024773804568757347,0.0008762258842935052,-4.5102822518461316e-11
0.27426602531339467,-3.455751918948773,0.0002965055634721572,0.001246742692451035,-5.479573327200893e-11
0.38397243543875254,-3.455751918948773,0.0004036239894391762,0.0018568812788708538,-7.168236913334541e-11
0.4936788455641104,-3.455751918948773,0.0006003938675494084,0.002825347365618026,-9.836905465535062e-11
0.6033852556894683,-3.455751918948773,0.0009339635880122976,0.00430394725003206,-1.3815266508912516e-10
0.7130916658148262,-3.455751918948773,0.001466402817633365,0.006460891491662442,-1.9449014230718542e-10
0.8227980759401841,-3.455751918948773,0.0022673912315075533,0.00944170732052532,-2.7000562896617453e-10
0.9325044860655419,-3.455751918948773,0.0033974103586782217,0.013306246855890746,-3.650630240811803e-10
1.0422108961908998,-3.455751918948773,0.004881319325467454,0.017953348005120422,-4.762179851847126e-10
1.1519173063162575,-3.455751918948773,0.006677994533634216,0.02306123210907136,-5.951782174745679e-10
1.2616237164416155,-3.455751918948773,0.008658213595861617,0.028081588509371216,-7.090268060172544e-10
1.3713301265669733,-3.455751918948773,0.01060573820707168,0.032316367482388,-8.021891761966771e-10
1.4810365366923313,-3.455751918948773,0.012251252289057265,0.035074397970507445,-8.599244961937647e-10
